queryid,rptno,TransactionType,ForwardType,SettlementType,PositionDate,Entity,EntityGroup1,EntityGroup2,Counterparty,CounterpartyGroup1,CounterpartyGroup2,Instrument,InstrumentGroup1,CcyPair,DealNo,DealId,DealSide,PayorReceive,CashFlowDate,CashflowType,Currency,ValuationModel,MarketValue,BaseCcy,BaseMV,FaceValue,PrincipalOutstanding,BPDelta,BPGamma,IRR,MacaulayDuration,ModifiedDuration,Theta,Convexity,SpotRate,SpotFactor,FwdRate,FwdFactor,ZeroRate,CurrencyDF,BaseDF,DiscountYieldCurve,DealDate,MaturityDate,TermofDeal,DaystoMaturity,TimeProfile,TimeProfileStart,TimeProfileEnd,TimeBucket
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1423,4860,1,REC,7 March 2012,FX Principal,EUR,NPV SPOT,3559153.97,USD,4745538.628,3559500,3559500,-0.94107064,0.01,3.61214702,0.002739593,0.002644085,346.03,0.002559038,0.75,1.333333333,0.7505,1.332445037,3.612147021,0.999902787,0.999925553,BS Zero Curve 1,5 March 2012,7 March 2012,2,1,Monthly 1,6 March 2012,1 April 2012,1 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1423,4860,2,PAY,7 March 2012,FX Principal,JPY,NPV SPOT,-288318939,USD,-2720374.953,-288319500,-288319500,78.9314937,-1,0.07099734,0.002739589,0.002737645,-561,0.002743329,105.985,0.009435297,105.9994889,0.009434008,0.070997344,0.999998056,0.999925553,BS Zero Curve 1,5 March 2012,7 March 2012,2,1,Monthly 1,6 March 2012,1 April 2012,1 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1424,4861,1,REC,13 June 2012,FX Principal,EUR,NPV SPOT,990006.29,USD,1320008.383,1000000,1000000,-25.87446554,0.32,3.77250377,0.271216265,0.261356578,100.45,0.320186374,0.75,1.333333333,0.733893617,1.362595309,3.772503771,0.990006287,0.990689814,BS Zero Curve 1,5 March 2012,13 June 2012,100,99,Monthly 4,2 June 2012,1 July 2012,4 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1424,4861,2,PAY,13 June 2012,FX Principal,JPY,NPV SPOT,-80974614,USD,-764019.5706,-81000000,-81000000,2193.62177,-28,0.11563326,0.271215658,0.270902405,-256,0.344004151,105.985,0.009435297,104.3763032,0.009580719,0.115633255,0.999686595,0.990689814,BS Zero Curve 1,5 March 2012,13 June 2012,100,99,Monthly 4,2 June 2012,1 July 2012,4 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1427,4864,1,REC,12 March 2012,FX Principal,EUR,NPV SPOT,3557413.01,USD,4743217.343,3559500,3559500,-5.642565452,0.06,3.63221288,0.01643755,0.015861429,347.75,0.015557905,0.75,1.333333333,0.74875,1.335559265,3.632212885,0.999413684,0.999545415,BS Zero Curve 1,15 February 2012,12 March 2012,26,6,Monthly 1,6 March 2012,1 April 2012,1 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1427,4864,2,PAY,12 March 2012,FX Principal,JPY,NPV SPOT,-288315896,USD,-2720346.238,-288319500,-288319500,473.559633,-5,0.07607044,0.016437521,0.016425027,-601,0.016683171,105.985,0.009435297,105.9273125,0.009440436,0.076070443,0.9999875,0.999545415,BS Zero Curve 1,15 February 2012,12 March 2012,26,6,Monthly 1,6 March 2012,1 April 2012,1 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1428,4865,1,REC,18 April 2012,FX Principal,EUR,NPV SPOT,3544126.51,USD,4725502.013,3559500,3559500,-40.24436943,0.43,3.74239828,0.117801873,0.113552294,356.77,0.122357438,0.75,1.333333333,0.738448276,1.354190988,3.742398284,0.995680997,0.99612325,BS Zero Curve 1,15 February 2012,18 April 2012,63,43,Monthly 2,2 April 2012,1 May 2012,2 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1428,4865,2,PAY,18 April 2012,FX Principal,JPY,NPV SPOT,-288285066,USD,-2720055.347,-288319500,-288319500,3392.60415,-38,0.10143424,0.117801642,0.117682272,-801,0.131420246,105.985,0.009435297,105.3307759,0.009493901,0.101434244,0.99988057,0.99612325,BS Zero Curve 1,15 February 2012,18 April 2012,63,43,Monthly 2,2 April 2012,1 May 2012,2 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1429,4866,1,REC,26 April 2012,FX Principal,EUR,NPV SPOT,3541242.32,USD,4721656.429,3559500,3559500,-47.68977948,0.52,3.74896901,0.139718353,0.13466963,357.09,0.147948377,0.75,1.333333333,0.737068966,1.356725146,3.748969007,0.994870718,0.995554092,BS Zero Curve 1,8 February 2012,26 April 2012,78,51,Monthly 2,2 April 2012,1 May 2012,2 Monthly
2956,11205,FX,Spot/Forward,Deliverable,6 March 2012,CASHMAN1,CASHMAN,None,Deutsche Bank,Germany Counterparties,Europe Counterparties,FX Forward,FORWARD,EUR/JPY,1429,4866,2,PAY,26 April 2012,FX Principal,JPY,NPV SPOT,-288278661,USD,-2719994.91,-288319500,-288319500,4023.692553,-46,0.10143312,0.139718074,0.139576497,-801,0.158926843,105.985,0.009435297,105.1594655,0.009509367,0.101433117,0.999858353,0.995554092,BS Zero Curve 1,8 February 2012,26 April 2012,78,51,Monthly 2,2 April 2012,1 May 2012,2 Monthly
